amount,hour_of_day,day_of_week,transaction_count_24h,distance_from_home,is_international,account_age_days,avg_tx_amount,device_change,is_fraud
195574.94270624395,7,3,26,42.78065105269433,0,2283,17284.977613270923,0,0
186867.40759958734,0,6,8,7.1645110954744915,0,774,59395.21771463765,0,0
24490.02725339413,0,5,16,14.533230267977155,0,874,116794.98256740137,0,0
78447.23376700972,3,6,19,4.133474505882707,0,3050,39217.41530629778,0,0
153172.29497409632,17,0,18,0.2244609790303921,1,1010,285742.91015108465,0,1
201646.17604230685,18,3,24,11.10348818888756,0,1837,69010.41158851498,0,0
29462.045152752475,9,6,29,14.971014980309645,1,1745,89871.72566018775,0,0
68141.65529945657,17,0,13,28.936167568695904,0,2276,49159.85550372557,0,0
74449.79155564564,9,3,6,11.912136127882086,0,1721,156070.27023682644,0,0
120276.79245515045,8,1,29,6.534895080411617,0,82,48043.532798602275,0,0
40086.456236511076,21,4,4,18.53877804950548,0,673,228172.55823601616,1,0
34736.38545445441,6,0,21,9.598660737926576,0,2237,29394.670774370934,0,0
122280.73517472988,5,0,10,5.3164475552050625,0,18,160685.49344962757,0,0
50971.87092918777,0,4,15,48.23639236801973,0,1031,81588.48959601764,0,0
403.20653514048337,4,1,23,15.38721228836203,0,1309,128377.79160088405,0,0
277814.94183582644,18,0,12,4.474806361919405,1,1221,3074.428923204413,0,0
16210.195256980694,14,1,28,22.228561276773007,0,400,25978.634017621163,0,0
16091.329681105184,23,6,20,32.49891214458371,0,735,150226.62998508854,0,0
170576.05130222274,13,6,12,28.42051179785008,0,3013,30657.202193726007,0,0
40872.466115646,6,6,27,18.302698553479868,0,74,99765.83394444312,0,0
39775.78454360987,8,6,7,14.663624475687627,0,413,388175.88356001204,0,0
97390.76821266286,11,5,6,30.040721110356138,0,413,15600.331316309479,0,0
6085.321669246379,16,3,5,24.628401430897423,0,1040,43240.397157607455,0,0
27044.708613170027,17,5,19,16.948222853891917,0,260,14438.025205354135,0,0
5474.256620053637,1,6,14,21.442556268386216,0,1089,13405.966034084855,0,0
34461.885681820655,16,3,1,3.693506762549454,0,1096,80200.8104965645,0,0
203968.373032392,23,4,24,0.4026978292385072,0,988,16993.70294041007,0,0
240055.6800274246,19,6,11,53.51246452174992,1,641,52723.46271753664,0,0
37024.76300006379,6,2,23,54.7551511020754,0,506,305124.4854417021,0,1
20774.607359775986,9,6,22,31.02062376488462,0,1756,32412.75023252351,0,0
14534.488449344368,14,1,4,9.313992575342379,0,1155,165483.19631942955,0,0
50156.71506951959,0,6,21,3.268049836826357,0,3648,40382.85360766444,0,0
175103.7680062327,23,2,14,8.842544123199392,0,2802,24398.72858159205,0,0
191503.57421089773,10,2,21,25.90959208532294,0,66,32788.18178629638,0,0
4701.612207298333,7,1,18,8.165379660997651,0,1625,10928.51002905732,1,0
23474.667832170537,11,6,6,31.784172530593185,0,2873,90901.43310292857,0,0
22711.424306392182,2,2,27,22.356715909770216,0,1381,56908.14180438715,1,0
176276.4981615544,14,0,5,19.883943422263663,0,1483,76118.30330345986,0,0
60934.35219126557,20,6,17,53.25298595368408,1,878,28888.238973424377,0,0
45949.144747710896,4,3,25,44.77649189885588,1,3346,84781.70844277876,0,1
313743.1586061103,4,5,7,24.87267799113615,1,1130,14387.463693614714,1,0
259504.25152564183,16,4,11,4.444068201487287,0,1063,84552.96815639801,0,0
58000.90254103154,1,6,14,55.91279936072659,0,488,6769.560262028444,0,0
13734.646190174404,0,1,2,5.152693075340195,0,2684,40902.47893463728,0,0
18753.932989492496,17,4,22,9.322882703739747,0,1145,75278.04254456886,0,0
11887.804187419339,8,5,17,35.06399203024975,0,596,154657.1120687215,0,0
114101.01607717891,4,3,2,4.680478261481401,0,2257,133881.86736578145,0,0
80897.80717804054,19,4,15,20.35557732664841,0,2823,59884.34805138944,1,0
81338.32967066404,12,1,7,12.243748835841819,0,951,171900.3782093997,0,0
10355.975438736654,1,4,3,19.565094542077517,0,112,56401.868357512234,0,0
157636.56587647006,21,2,23,63.42590449937431,1,1425,58246.708146537894,0,0
76695.06596267503,12,2,6,33.04317990059375,1,2628,101995.5954265722,0,1
9537.629795913304,7,3,21,7.0145003430649835,0,1828,168156.1267626109,0,0
137488.28824401935,9,6,26,1.1795976721156507,0,892,73848.41104164378,0,0
397913.04042262747,19,2,9,68.25184082700866,0,734,230866.69417059736,0,0
58192.87760017678,5,4,10,17.59784661097791,0,1,21178.31551904335,0,0
12290.759398914313,10,0,21,3.8015545109618563,0,759,206488.13473506604,1,0
10691.634160214839,13,4,21,19.72936511230011,0,1315,20046.62250479824,0,0
2622.029592815747,9,0,8,0.8626694286525293,0,3148,59793.99343679484,0,0
