age,monthly_income,loan_amount,duration_months,existing_debt,num_dependents,employment_type,education,credit_history,collateral,approved
58,1529634,858062,12,654433,4,unemployed,primary,1,0,0
48,1767836,3039159,18,395722,4,student,tertiary,0,0,0
34,964424,4884028,24,98120,3,self_employed,secondary,1,1,1
62,916491,717538,6,676069,4,employed,secondary,1,1,0
27,1624745,4657455,24,713895,3,student,tertiary,0,0,0
40,969134,2063338,36,306984,0,employed,secondary,1,1,0
58,1905797,3128378,18,245512,3,employed,tertiary,1,0,1
38,1486803,4922691,48,899079,1,employed,tertiary,1,0,0
42,138059,2112624,18,191659,2,self_employed,primary,0,1,0
30,1837430,4695373,60,59321,2,employed,tertiary,0,1,0
30,882583,1997175,12,234855,5,self_employed,secondary,0,0,0
43,492136,4311663,12,43202,1,unemployed,tertiary,0,1,0
55,1732252,2350612,36,187660,3,employed,secondary,0,1,0
59,248303,4060768,48,658450,1,self_employed,secondary,1,1,0
43,561162,2092749,60,498017,5,employed,primary,1,1,0
22,523573,1375831,18,321375,4,employed,tertiary,1,0,0
41,1363982,4530609,48,807984,3,employed,primary,0,0,0
21,379125,955352,6,225743,1,self_employed,primary,1,1,0
43,957383,941255,24,211299,4,employed,none,1,1,1
63,959531,2010022,18,951245,5,unemployed,secondary,1,0,0
49,1180548,3326194,48,283805,4,student,tertiary,0,0,0
57,1436205,2328598,6,172097,3,student,secondary,1,1,1
21,1153298,4661534,6,399308,5,employed,tertiary,1,1,1
40,1974507,1931397,60,953178,5,employed,secondary,1,1,0
52,231890,3961251,60,655930,5,employed,secondary,0,1,1
31,997436,4655681,24,929588,0,self_employed,tertiary,0,0,0
41,1367621,1730664,6,852275,5,student,tertiary,1,0,0
63,167473,3596434,36,453968,0,self_employed,tertiary,1,0,0
44,1590815,2528843,6,331422,4,self_employed,secondary,1,1,1
46,320741,812557,48,762638,0,employed,tertiary,1,1,0
61,1490351,4280061,60,94328,4,unemployed,tertiary,0,0,1
47,1621836,2769713,36,918269,0,employed,none,1,0,0
35,1948917,4196477,60,650643,4,employed,none,1,0,1
34,908823,632933,60,238340,4,unemployed,tertiary,1,1,0
63,789574,371199,60,286342,5,self_employed,tertiary,0,0,0
22,375437,976502,6,61201,5,employed,tertiary,0,0,0
56,1866760,3879994,12,335415,4,employed,tertiary,1,1,1
26,206877,1461746,6,212810,5,employed,primary,1,0,0
40,1583471,2479488,60,964703,4,self_employed,primary,1,0,0
28,1634738,4990935,36,404593,5,employed,primary,1,1,0
58,1847001,79092,6,373722,2,unemployed,none,1,1,0
37,922834,707191,60,735193,0,employed,primary,0,0,0
23,1899087,2437807,60,401252,4,employed,primary,0,1,0
44,493066,933435,6,302508,1,employed,secondary,1,1,0
33,384923,4131534,6,901659,5,employed,tertiary,1,1,0
28,669696,1940576,36,483121,5,self_employed,none,1,1,0
45,1743470,3559934,6,100353,3,self_employed,tertiary,0,1,0
21,170062,3509379,24,773331,1,employed,secondary,1,1,0
39,1110676,257580,48,692803,1,employed,none,1,0,0
47,1417741,819032,24,394879,2,unemployed,primary,1,1,0
26,1082499,1722992,36,170316,0,employed,none,1,0,1
63,1773736,4792256,12,975895,2,employed,primary,1,1,0
