date,year,month,inflation_rate,gdp_growth,interest_rate,rwf_usd_exchange,consumer_price_index,unemployment_rate,money_supply_bn_rwf,trade_balance_mn_rwf,market_sentiment,market_volatility,sector_agriculture,sector_manufacturing,sector_services,sector_technology,sector_energy,sector_financial,sector_real_estate,sector_healthcare
2020-01,2020,1,3.2,2.0,5.98,1057.99,100.27,16.21,1469.67,-172.83,41,20,98.79,102.42,101.34,97.84,100.55,102.72,99.14,99.84
2020-02,2020,2,3.4,4.02,5.64,1030.81,100.55,15.2,1527.38,-111.15,57,24,98.57,102.42,101.81,100.99,99.2,104.62,96.98,98.82
2020-03,2020,3,3.54,2.62,6.2,1047.11,100.85,14.75,1559.66,-217.24,49,18,98.96,105.02,101.98,100.41,101.05,105.88,98.7,99.5
2020-04,2020,4,2.78,2.59,5.19,1041.12,101.08,14.7,1500.79,42.02,66,19,97.16,107.53,102.15,101.29,101.91,109.05,100.63,101.35
2020-05,2020,5,2.66,4.03,6.01,1028.8,101.3,14.35,1546.72,-210.32,60,21,98.65,103.83,104.11,101.26,102.38,110.52,102.47,102.93
2020-06,2020,6,2.94,3.26,5.71,1060.68,101.55,14.54,1547.26,-132.71,75,19,98.18,107.26,103.5,103.5,98.57,110.4,104.56,101.89
2020-07,2020,7,3.52,4.0,5.7,1021.52,101.85,16.24,1646.1,-32.49,62,20,100.69,111.37,109.09,108.57,101.52,111.1,104.09,105.68
2020-08,2020,8,3.36,2.85,5.46,1036.3,102.14,16.06,1717.98,-135.93,55,21,100.0,113.48,108.82,107.06,106.17,110.27,102.8,105.86
2020-09,2020,9,2.67,3.41,5.61,1057.14,102.36,15.31,1571.43,-256.69,50,20,98.24,113.05,112.93,106.49,111.18,109.48,104.93,106.21
2020-10,2020,10,2.77,2.17,5.83,1043.79,102.6,15.71,1593.46,-280.12,56,20,98.79,113.33,112.11,108.79,109.23,109.42,104.19,105.77
