age,monthly_income,monthly_expenses,num_dependents,existing_savings,debt_payments,investment_amount,employment_type,has_insurance,financial_health_score,recommended_monthly_saving
24,1141202,1082645,2,4712337,136124,10315,employed,1,100,0
30,620737,187831,2,3655652,353529,177993,employed,0,100,15875
37,97110,82657,1,4734788,464285,23565,student,0,100,0
45,375413,248962,2,3788430,396659,144906,student,0,100,0
64,1914515,1037572,2,2704417,231730,272339,employed,0,100,129042
47,1945094,1786284,1,4938917,168440,157255,employed,0,100,0
58,859948,782861,4,4112703,461392,34504,employed,0,100,0
44,916568,311040,4,3949854,488140,4133,self_employed,0,100,23477
47,788760,593525,5,2457049,447484,146395,employed,0,100,0
58,1848466,1279061,2,4378313,192955,22617,unemployed,1,100,75289
41,1981984,1467752,1,4478545,431118,130969,self_employed,0,100,16622
47,830771,761379,4,4956275,451526,97533,employed,1,100,0
18,1236313,1166813,5,974712,265257,137787,employed,1,100,0
41,360060,165412,5,2988857,56143,209722,employed,1,100,27700
37,1888576,927208,4,777665,160437,37102,employed,1,100,160186
25,729958,567636,5,4630409,335424,112360,employed,1,100,0
34,1859341,1406569,1,171376,104719,58458,employed,0,100,69610
48,1419015,560147,0,4044844,112227,52215,self_employed,1,100,149328
21,1531860,1403761,5,4738426,88233,118419,student,0,100,7973
51,1648703,1358298,2,907563,382528,179088,employed,0,100,0
50,285865,147344,2,4298944,15474,145877,student,1,100,24609
46,286240,193868,5,2305102,228651,226959,employed,0,100,0
36,1437345,1107501,4,4224684,295936,168660,employed,0,100,6781
31,211999,185200,1,4941025,463921,206028,employed,0,100,0
42,1350163,1273245,3,185338,102896,189281,employed,0,100,0
18,635807,482874,5,1846435,458106,73525,employed,0,100,0
39,184100,125269,3,4223654,191164,217593,employed,0,100,0
63,1930611,1779806,1,1155657,151396,96236,employed,0,100,0
21,400849,254680,1,4682619,94933,68358,employed,0,100,10247
52,636012,285046,0,3064376,147163,93310,employed,0,100,40760
56,763802,276028,3,3855564,88305,200159,employed,0,100,79893
50,546280,220210,1,2348909,382114,179724,employed,1,100,0
33,1101158,754075,1,4499207,499985,270943,employed,1,100,0
62,1079428,795565,2,1464815,223926,148856,employed,0,100,11987
52,1938747,1556953,3,3771152,38319,162386,employed,0,100,68694
29,345615,171681,1,75046,243755,295463,self_employed,1,100,0
53,1884061,1018935,3,1220169,122378,199463,student,0,100,148549
63,480027,392617,1,4409215,78736,284765,unemployed,1,100,1734
24,1730458,683023,5,4825210,101158,57021,self_employed,1,100,189255
21,1137107,977396,3,4671115,442660,164666,student,1,100,0
29,676505,327179,0,1843987,341854,192522,employed,0,100,1494
24,1589596,952236,0,1747198,45096,29804,self_employed,0,100,118452
63,1318124,589963,0,1085279,173110,108174,student,0,100,111010
32,148452,58514,4,2452859,232543,259003,self_employed,1,100,0
23,778673,616012,1,4529562,420285,71827,employed,0,100,0
34,1407447,1148471,2,2159942,33135,219549,unemployed,1,100,45168
34,848049,433625,4,2266382,443552,256162,employed,1,100,0
61,250071,221579,3,226364,127281,202630,employed,0,100,0
21,456492,338342,1,2703314,423333,251455,unemployed,1,100,0
24,1409348,902475,1,2007384,220303,212123,employed,0,100,57313
53,740387,630510,4,1398720,185761,143724,self_employed,1,100,0
24,990070,861879,1,4411615,266061,291210,unemployed,0,100,0
55,542624,374211,1,3922344,62079,260002,employed,1,100,21266
53,1494262,1015761,3,1557993,324515,5707,self_employed,1,100,30797
59,1217337,906971,2,69001,89614,42827,employed,0,100,44150
50,1270571,851255,3,2483814,252112,1038,self_employed,0,100,33440
40,916228,619789,5,4238392,477751,47029,employed,0,100,0
45,276117,190199,4,2865780,175544,165543,unemployed,0,100,0
45,376948,191989,1,3458964,73672,262793,student,0,100,22257
50,1347246,1064200,1,1598076,284237,38599,self_employed,0,100,0
39,773142,411959,2,2383613,316396,172949,self_employed,1,100,8957
56,1898748,1368970,2,3278737,249943,235520,employed,0,100,55966
39,1989359,1536193,0,1857069,175708,175224,employed,1,100,55491
21,207598,137426,2,3801056,436184,13466,employed,0,100,0
41,1064657,480555,3,4906122,155971,188522,employed,0,100,85626
33,1712261,1157610,5,2629245,118623,76320,self_employed,1,100,87205
63,1423598,1183215,1,1686858,196127,108734,employed,0,100,8851
30,1748701,615794,3,3918687,52034,60534,employed,1,100,216174
32,1284038,934770,3,2924802,454021,80341,employed,0,100,0
50,1086695,402534,3,4037955,314770,39946,employed,0,100,73878
47,950876,685586,3,4537186,336528,120412,employed,0,100,0
40,1406627,676991,3,888108,330875,279013,employed,1,100,79752
59,1016346,893338,3,3450762,57391,101724,employed,0,100,13123
22,1997138,1112994,1,1701997,158399,157641,employed,1,100,145148
56,825677,454207,3,2820913,164740,135037,employed,1,100,41345
51,1994097,1704576,4,1478386,489673,269170,employed,1,100,0
58,1494873,1384314,3,3113624,383612,39027,employed,1,100,0
22,1582750,504397,0,907347,120154,12864,unemployed,1,100,191639
61,1579157,977442,5,2942932,416035,246502,employed,1,100,37135
21,771930,515594,3,2755786,496607,242771,employed,0,100,0
33,906034,817325,0,3223183,29624,131677,self_employed,0,100,11816
28,1185590,813631,1,4535157,84436,76705,employed,0,100,57504
44,641740,433385,4,3060553,66031,422,self_employed,0,100,28464
40,1440443,1124572,1,4242676,300639,29289,employed,0,100,3046
50,827756,673936,1,4861254,145450,149425,self_employed,1,100,1673
40,1021630,617678,3,2048252,486497,172523,employed,1,100,0
30,1469623,594759,0,4746215,449776,157162,self_employed,1,100,85017
22,167917,143770,4,2325484,320846,242294,student,1,100,0
49,768414,312929,3,1950739,223048,79645,student,0,100,46487
57,1726545,1617755,0,1497816,325761,32879,self_employed,1,100,0
27,857638,459548,5,1660069,470118,228582,employed,1,100,0
32,1157084,1062747,3,3092960,353708,145716,unemployed,0,100,0
32,1104041,834786,1,1865610,341317,275484,student,0,100,0
40,1033924,891629,0,1703795,83418,68928,employed,0,100,11775
62,1302587,1188832,5,3634095,123604,262516,unemployed,1,100,0
51,284660,209268,2,4702262,314785,92002,employed,0,100,0
21,273380,220675,3,3188099,292731,106431,employed,0,100,0
30,1744484,753658,1,4428189,473959,161872,student,1,100,103373
46,1014393,556185,0,4995631,325653,96507,student,1,100,26510
26,1260820,706519,1,2959330,399879,118285,self_employed,1,100,30884
22,1059085,435308,3,4898516,16915,18953,student,0,100,121372
29,1427350,948282,5,3311941,33721,91147,employed,1,100,89069
51,169930,133358,3,4874679,346661,52174,self_employed,1,100,0
25,369063,171186,3,3213926,54664,2885,employed,0,100,28642
37,381706,294735,4,1542018,235154,208925,self_employed,0,100,0
