transaction_amount,location,device,time,frequency,is_fraud
3124768.65,Rubavu,mobile,2,4,1
2210682.45,Rubavu,unknown,13,3,1
782046.04,Nyagatare,pos,3,1,0
2163820.53,Nyagatare,web,6,3,0
4393420.54,Butare,mobile,4,6,0
2290509.94,Butare,web,22,2,0
1713975.93,Butare,unknown,11,4,0
3149004.91,Rubavu,web,7,5,0
3094501.9,Kigali,mobile,7,4,0
453537.18,Kigali,unknown,19,3,0
1182834.6,Nyagatare,pos,3,2,0
2472276.28,Kigali,web,10,2,0
1831972.2,Kigali,pos,18,2,0
1600124.58,Nyagatare,mobile,1,3,0
2228845.68,Kigali,web,16,3,0
1451925.3,Kigali,mobile,19,1,0
1737684.78,Nyagatare,pos,20,2,0
3868262.15,Kigali,unknown,20,3,1
2551399.83,Butare,unknown,3,2,1
4364343.04,Gisenyi,web,19,4,0
4742827.01,Nyagatare,web,15,2,0
4610425.47,Kigali,unknown,10,2,1
1268928.61,Kigali,atm,1,1,0
2364693.21,Gisenyi,mobile,14,2,0
2675493.39,Butare,mobile,7,2,0
4261027.68,Kigali,unknown,1,2,1
2795323.83,Butare,mobile,20,1,0
1263951.1,International,mobile,4,5,0
2737921.8,Kigali,atm,0,1,0
221900.33,Kigali,pos,9,0,0
4170769.78,Kigali,mobile,15,1,0
2830213.87,Gisenyi,mobile,10,2,0
3258760.19,Kigali,pos,0,2,1
1005095.18,Butare,mobile,12,3,0
2790893.32,Nyagatare,unknown,18,4,1
2653419.13,Kigali,mobile,8,4,0
3098344.92,Kigali,mobile,17,4,0
4237176.55,Kigali,pos,17,1,0
3822810.03,Kigali,mobile,6,2,0
2734598.61,Rubavu,mobile,22,4,0
4467068.74,Kigali,pos,3,5,0
1792412.53,Musanze,web,20,2,0
2463007.82,Musanze,mobile,8,6,0
3247345.3,Butare,atm,12,1,0
2204113.06,Nyagatare,pos,5,5,0
1807410.36,Kigali,pos,12,2,0
562415.06,Rubavu,mobile,17,0,0
3179679.44,Kigali,web,22,2,0
963435.52,Kigali,web,13,4,0
691705.75,Kigali,mobile,13,1,0
911173.39,Butare,web,20,1,0
3442558.24,International,mobile,12,4,0
692226.99,Kigali,mobile,10,2,0
4881191.94,Nyagatare,mobile,15,0,0
3792827.61,Nyagatare,web,17,4,0
1963977.17,Butare,mobile,15,4,0
2966617.12,Butare,atm,6,2,0
38629.4,Butare,mobile,20,1,0
4222737.42,Musanze,atm,16,1,0
1356422.24,Kigali,mobile,0,2,0
359882.58,Kigali,web,0,3,0
3790715.44,Kigali,web,4,3,0
1648243.52,Nyagatare,mobile,0,4,0
2837922.02,Kigali,atm,10,0,0
4220235.73,Rubavu,unknown,7,2,1
3879768.84,Butare,mobile,20,4,0
1684515.54,Rubavu,mobile,17,7,0
4343548.58,Nyagatare,web,11,5,0
1944555.15,Kigali,unknown,11,3,0
2500369.1,Kigali,web,2,7,0
3062487.12,Rubavu,atm,13,1,0
355368.61,International,atm,12,6,0
2986020.6,Rubavu,unknown,18,2,1
2887297.5,Musanze,mobile,19,0,0
4367535.63,Gisenyi,web,1,4,0
1768642.53,Kigali,pos,11,1,0
1211322.3,Rubavu,atm,11,6,0
2382834.37,Kigali,mobile,9,3,0
3436814.58,Butare,pos,3,2,0
2809690.24,Gisenyi,mobile,16,6,0
691464.26,Nyagatare,web,6,6,0
1739784.2,Nyagatare,mobile,4,2,0
319396.92,Kigali,pos,3,3,0
3696761.9,Gisenyi,mobile,17,3,0
