income,expenses,savings,loan_amount,credit_score,loan_status
1186166.34,547473.38,2597698.28,6399538.46,593,0
2857071.49,1237221.86,1581491.89,4619959.91,621,1
2222782.43,718642.76,2311513.87,9646760.32,632,1
1836109.6,1147727.64,3653567.84,2228835.59,630,1
552454.06,294809.88,798996.64,5899171.34,585,0
552384.11,445216.45,1223924.72,7017089.65,575,0
268442.48,59722.2,774087.08,8264366.67,620,1
2611910.82,1699590.09,913228.66,4099361.75,485,0
1843233.53,1353051.78,3923697.03,6884872.98,454,0
2153410.48,1575522.53,1488076.55,3066854.64,659,1
159695.03,130990.13,198569.62,4382987.12,661,0
2912738.57,2068987.01,287161.59,8961489.96,737,0
2514083.66,2135631.21,1025047.59,9501580.71,624,0
715783.42,309833.74,686673.85,7202232.6,530,0
627292.4,346420.09,643575.29,3774801.31,456,0
631873.08,132602.21,1705271.04,8209575.01,560,0
982302.5,201244.62,2186054.04,307377.46,692,1
1621793.65,596963.81,4730040.5,1072321.81,794,1
1352640.55,365977.24,2430985.26,6630668.68,655,0
944564.51,360963.4,684942.64,2947923.32,528,0
1874373.39,607166.35,1842443.61,9516292.87,562,1
504532.2,110978.93,484102.56,4388803.09,565,0
947219.48,792361.32,927785.36,4322179.96,609,0
1162449.35,239181.15,2346860.29,6796891.13,762,0
1422602.95,1017527.43,2265386.78,7687307.19,769,1
2377010.29,728562.02,2748471.71,4781809.44,632,1
679053.97,569427.99,303720.0,2179308.97,668,0
1591279.87,1312737.72,105688.81,7744421.0,570,0
1818002.25,1195756.08,1193525.81,3237495.18,479,0
234706.2,157385.5,75672.61,1792352.15,828,1
1861880.07,379334.6,4387213.35,6334819.89,417,1
594519.96,528772.05,200646.84,950013.99,466,0
288649.62,235100.16,627144.62,9714959.12,829,0
2851768.06,2357198.35,3299427.4,6342352.78,651,1
2900332.9,1918486.61,638465.27,9859660.43,537,0
2444352.31,1078816.97,5959795.72,3421989.56,718,1
983379.93,811833.29,1709991.21,9713491.35,727,0
383249.13,154856.35,271066.18,1498344.36,516,0
2084275.78,1237847.38,5594286.9,454912.98,596,1
1376442.23,371380.19,186886.36,378191.4,737,1
453910.88,383722.16,274824.35,4675460.19,568,0
1536013.04,458560.29,3465461.66,875891.76,678,1
199726.71,71387.87,425045.16,5146070.45,792,0
2737029.17,1616746.46,2375235.19,3308630.01,410,0
850461.95,624974.8,158249.39,3389508.48,615,0
2021314.62,1280595.62,5203337.27,6374309.52,676,0
1003962.12,363929.98,944821.64,1672825.16,470,0
1608197.26,322701.07,944237.33,7677206.03,597,0
1685459.81,1230394.77,2609404.38,5841207.65,754,0
636077.92,565883.62,1736926.27,9153699.06,579,0
2911795.42,2233170.0,380396.18,3680164.5,501,0
2347885.19,1225935.65,5394060.23,9828014.17,763,1
