date,year,month,inflation_rate,gdp_growth,interest_rate,rwf_usd_exchange,Agriculture_index,Technology_index,Real_Estate_index,Manufacturing_index,Retail_index,Tourism_index,Transport_index,Energy_index
2016-01,2016,1,2.03,4.01,6.02,955.79,101.68,98.42,101.01,100.03,99.18,101.79,99.78,99.75
2016-02,2016,2,2.0,4.02,6.02,950.89,105.77,100.72,100.54,101.21,101.43,105.07,100.58,101.56
2016-03,2016,3,1.94,4.0,6.02,946.14,105.55,101.48,101.28,103.43,102.54,109.56,101.55,103.23
2016-04,2016,4,2.02,3.97,6.05,945.57,106.75,103.87,102.04,104.9,99.33,110.16,101.04,104.78
2016-05,2016,5,2.04,3.96,6.06,948.5,107.09,102.37,103.42,103.47,100.89,110.39,103.67,104.62
2016-06,2016,6,2.01,3.95,6.09,953.64,111.34,103.27,105.18,104.98,103.03,111.37,102.6,105.1
2016-07,2016,7,1.94,3.97,6.09,958.75,112.75,104.65,106.48,104.97,103.64,109.64,102.8,103.66
2016-08,2016,8,1.92,4.0,6.08,958.67,109.73,102.72,109.45,106.43,104.9,109.21,103.14,103.12
2016-09,2016,9,1.94,3.99,6.08,961.68,109.3,102.48,110.36,106.32,108.15,107.32,103.67,102.97
2016-10,2016,10,1.9,4.01,6.08,969.64,107.55,104.42,112.9,108.04,104.71,108.64,104.89,102.19
2016-11,2016,11,1.91,4.01,6.07,972.32,110.01,105.0,111.29,109.5,105.99,107.21,106.12,102.24
2016-12,2016,12,1.91,4.0,6.11,974.25,109.3,104.38,112.45,110.01,105.02,107.72,106.56,103.18
2017-01,2017,1,1.92,4.01,6.11,979.18,110.44,106.46,112.86,109.3,107.14,108.24,108.13,102.42
2017-02,2017,2,1.99,4.01,6.12,980.36,110.71,106.7,114.01,111.41,107.08,108.09,107.22,101.78
2017-03,2017,3,2.04,4.02,6.12,983.89,110.62,108.91,115.13,112.26,108.06,112.3,107.91,102.74
2017-04,2017,4,2.01,4.04,6.13,993.3,109.68,111.79,116.77,112.72,106.05,114.77,109.32,103.25
2017-05,2017,5,1.96,4.03,6.13,987.55,109.44,114.79,118.3,113.56,107.66,116.56,109.82,104.48
2017-06,2017,6,1.93,4.04,6.14,986.71,110.02,116.6,119.28,112.7,106.24,119.11,110.03,106.38
2017-07,2017,7,1.9,4.01,6.14,983.78,110.03,117.64,118.91,114.12,106.14,118.08,110.42,107.87
2017-08,2017,8,1.94,3.98,6.11,980.49,111.3,119.04,120.3,114.38,108.39,116.49,111.12,109.74
2017-09,2017,9,1.92,3.98,6.13,977.75,109.2,123.84,119.89,115.01,109.83,118.27,111.83,111.12
2017-10,2017,10,1.91,3.97,6.1,967.16,107.51,123.6,119.82,115.88,109.8,116.36,113.09,107.79
2017-11,2017,11,1.97,3.99,6.12,965.03,109.15,128.51,121.1,114.43,108.01,115.03,114.32,107.37
2017-12,2017,12,1.98,4.0,6.13,970.45,108.11,128.74,122.09,112.63,108.15,114.97,114.59,106.2
2018-01,2018,1,2.0,4.01,6.13,964.31,106.27,131.44,121.91,111.22,107.77,108.02,115.31,106.82
2018-02,2018,2,1.94,4.01,6.13,955.72,107.2,133.44,121.4,110.89,107.37,106.44,115.43,107.01
2018-03,2018,3,1.94,3.99,6.14,952.88,107.43,136.64,122.32,111.2,106.65,108.83,114.2,108.85
2018-04,2018,4,1.92,3.94,6.16,949.04,109.2,131.11,122.91,109.81,106.46,109.45,116.03,107.32
2018-05,2018,5,1.87,3.92,6.14,953.29,105.76,134.01,123.16,108.78,106.5,111.24,118.11,106.23
2018-06,2018,6,1.86,3.93,6.11,962.03,103.65,135.07,124.62,109.5,109.79,113.33,118.82,106.21
2018-07,2018,7,1.83,3.91,6.12,973.17,104.93,138.14,125.39,108.69,108.52,111.39,118.98,107.56
2018-08,2018,8,1.85,3.93,6.12,969.49,106.24,140.37,127.21,108.48,110.63,106.6,118.93,107.75
